Продажа;Время;Купюрами;Монетами;Банк. картой;Картой;Моб.приложение;Сдача;Итого;Розлито;На сумму
7803;2023.10.20 17:01:47;0;0;20;0;0;0;20;5;20
7802;2023.10.20 14:53:46;0;0;20;0;0;0;20;5;20
7801;2023.10.20 10:15:54;0;19;0;0;0;0;19;4,7;19
7800;2023.10.20 00:39:35;0;0;20;0;0;0;20;5;20
7799;2023.10.20 00:38:18;0;0;40;0;0;0;40;10;40
7798;2023.10.19 23:54:36;0;0;20;0;0;0;20;5;20
7797;2023.10.19 23:53:35;0;0;20;0;0;0;20;5;20
7796;2023.10.19 20:20:28;0;0;20;0;0;0;20;5;20
7795;2023.10.19 19:08:47;0;20;0;0;0;0;20;5;20
7794;2023.10.19 19:07:25;0;0;20;0;0;0;20;5;20
7793;2023.10.19 18:46:41;0;0;20;0;0;0;20;5;20
7792;2023.10.19 18:14:59;0;20;0;0;0;0;20;5;20
7791;2023.10.19 18:01:09;0;20;0;0;0;0;20;5;20
7790;2023.10.19 17:23:27;0;12;0;0;0;0;12;3;12
7789;2023.10.19 17:22:17;0;12;0;0;0;0;12;3;12
7788;2023.10.19 17:11:42;0;45;0;0;0;2;43;10,5;42,37
7787;2023.10.19 17:08:05;0;0;20;0;0;0;20;5;20
7786;2023.10.19 17:06:14;0;0;20;0;0;0;20;5;20
7785;2023.10.19 13:47:19;0;0;20;0;0;0;20;5;20
7784;2023.10.19 13:46:14;0;0;20;0;0;0;20;5;20
7783;2023.10.19 13:30:46;0;20;0;0;0;0;20;5;20
7782;2023.10.19 13:15:49;0;80;0;0;0;0;80;19,9;79,99
7781;2023.10.19 12:44:43;100;0;0;0;0;61;39;9,7;38,81
7780;2023.10.19 12:24:01;0;10;0;0;0;0;10;2,4;10
7779;2023.10.19 12:23:42;0;12;0;0;0;0;12;3;12
7778;2023.10.19 11:28:51;0;19;0;0;0;0;19;4,7;19
7777;2023.10.19 07:55:03;0;0;20;0;0;0;20;4,9;19,84
7776;2023.10.19 07:51:00;0;0;20;0;0;0;20;5;20
7775;2023.10.18 19:39:57;0;20;0;0;0;0;20;5;20
7774;2023.10.18 19:29:52;0;32;0;0;0;0;32;8;32
7773;2023.10.18 19:23:13;0;2;0;0;0;0;2;0,4;2
7772;2023.10.18 19:22:26;0;1;0;0;0;0;1;0,2;1
7771;2023.10.18 19:20:56;50;70;0;0;0;0;120;29,9;119,99
7770;2023.10.18 19:04:44;0;21;0;0;0;1;20;4,9;19,75
7769;2023.10.18 18:03:21;0;0;20;0;0;0;20;5;20
7768;2023.10.18 17:22:03;0;20;0;0;0;0;20;5;20
