Продажа;Время;Купюрами;Монетами;Банк. картой;Картой;Моб.приложение;Сдача;Итого;Розлито;На сумму
26762;2023.09.25 14:09:47;0;50;0;0;0;0;50;10;50
26761;2023.09.25 13:42:32;50;0;0;0;0;0;50;10;50
26760;2023.09.25 13:39:09;0;25;0;0;0;0;25;5;24,98
26759;2023.09.25 12:55:50;0;25;0;0;0;0;25;5;25,02
26758;2023.09.25 12:54:31;0;25;0;0;0;0;25;5;24,98
26757;2023.09.25 11:53:01;0;30;0;0;0;0;30;5;25,02
26756;2023.09.25 11:47:07;0;25;0;0;0;0;25;5;24,98
26755;2023.09.25 11:34:06;0;15;0;0;0;0;15;3;15,02
26754;2023.09.25 11:33:38;50;0;0;0;0;0;50;10;50
26753;2023.09.25 09:59:00;0;25;0;0;0;0;25;5;24,98
26752;2023.09.25 09:43:18;0;25;0;0;0;0;25;5;25,02
26751;2023.09.25 08:30:47;0;0;25;0;0;0;25;5;24,98
26750;2023.09.25 07:53:58;0;0;25;0;0;0;25;5;25,02
26749;2023.09.25 07:53:02;0;0;25;0;0;0;25;5;24,98
26748;2023.09.25 07:42:49;0;1;0;0;0;0;1;0,2;1,02
26747;2023.09.25 07:42:28;0;25;0;0;0;0;25;5;24,98
26746;2023.09.25 07:41:29;0;25;0;0;0;0;25;5;25,02
26745;2023.09.24 22:41:09;0;40;0;0;0;0;40;8;40
26744;2023.09.24 22:08:39;0;0;25;0;0;0;25;5;24,98
26743;2023.09.24 22:07:54;0;0;25;0;0;0;25;5;25,02
26742;2023.09.24 22:06:48;0;0;25;0;0;0;25;5;24,98
26741;2023.09.24 20:50:21;0;0;25;0;0;0;25;5;25,02
26740;2023.09.24 20:49:05;0;0;25;0;0;0;25;5;24,98
26739;2023.09.24 20:06:57;0;0;25;0;0;0;25;5;25,02
26738;2023.09.24 18:33:45;0;12;0;0;0;0;12;2,4;12
26737;2023.09.24 18:24:53;50;0;0;0;0;0;50;10;50
26736;2023.09.24 17:20:36;0;25;0;0;0;0;25;5;24,98
26735;2023.09.24 16:44:54;0;0;25;0;0;0;25;5;25,02
26734;2023.09.24 16:31:23;0;45;0;0;0;0;45;9;44,98
26733;2023.09.24 16:06:34;0;0;25;0;0;0;25;5;25,02
26732;2023.09.24 15:17:16;0;0;25;0;0;0;25;5;24,98
26731;2023.09.24 15:16:11;0;0;25;0;0;0;25;5;25,02
26730;2023.09.24 15:03:49;100;0;0;0;0;25;75;15;74,98
26729;2023.09.24 14:47:38;0;0;25;0;0;0;25;5;25,02
26728;2023.09.24 14:28:52;0;20;0;0;0;0;20;4;20
26727;2023.09.24 14:22:19;100;0;0;0;0;49;51;10;50,23
